"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","100uF","","","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"C2,C3","2","470uF","","","","Capacitor_THT:CP_Radial_D7.5mm_P2.50mm",""
"C4,C5","2","0.1uF","","","","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm",""
"CR2","1","1N5825","","","","1N5825_MCH","1N5825"
"D2","1","LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"J1","1","Conn_01x03_Pin","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical",""
"L1","1","100uH","","","","Inductor_THT:L_Toroid_Vertical_L21.6mm_W9.5mm_P7.11mm_Pulse_C",""
"R1","1","2k","","","","Resistor_SMD:R_1206_3216Metric",""
"R3","1","1k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"R4","1","19512","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"R5","1","RVar","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"U2","1","LM2576HVS-ADJ","","","","Package_TO_SOT_SMD:TO-263-5_TabPin3","http://www.ti.com/lit/ds/symlink/lm2576.pdf"
